,Age & BMI,"HRV
(measured during sleep)"
Lipids_POS_862.6295_357.4456_322.1283,0.1834978068758284,0.2083119923485616
Lipids_POS_830.6043_369.6354_309.3115,0.27382002643273107,0.2985623097027532
Lipids_POS_617.5103_371.8628_270.9432,0.24192810245899693,0.266666496190477
Lipids_NEG_311.1681_430.4985_192.9331,0.26814215052182955,0.29272153598815887
Lipids_NEG_856.5697_310.6635_315.9175,0.19496913614443623,0.2194749843480711
Lipids_NEG_651.6030_471.2810_292.0559,0.2070629328178177,0.2314550621200519
Lipids_NEG_1129.8638_413.1329_380.5167,0.0053217488301059,0.02964937071085955
Lipids_NEG_660.3482_158.6533_273.3645,0.33590250591317183,0.3602103111200973
Lipids_POS_369.3513_462.8191_210.4257,0.2590774606421298,0.28336945326582763
Lipids_POS_881.7555_466.2420_339.4432,0.2934552452101175,0.31771320873054787
Lipids_NEG_964.7707_407.9690_349.3359,0.14948854248306645,0.17367520218475269
Lipids_POS_846.6350_346.7366_320.1310,0.10178462744531569,0.12590644771549508
Lipids_POS_842.7215_415.9298_325.1811,0.23122853295791684,0.255332715567566
Lipids_POS_857.7578_449.5218_334.1581,0.24906610842191101,0.2730550489146173
Lipids_POS_538.3862_227.4236_250.8507,0.3958754178330388,0.41981253670325047
Lipids_POS_828.6549_346.4583_323.9148,0.2276308535710399,0.2515417566400989
Lipids_POS_880.6882_360.0745_332.2774,0.2457540496184712,0.26961509933594663
Lipids_POS_891.8086_532.5162_348.1960,0.1050576470546421,0.1288381432240039
Lipids_POS_802.6366_359.3949_320.1606,0.27315192718179293,0.29692536414524606
Lipids_POS_605.5448_463.5489_278.7392,0.20667071046127633,0.23043077069524714
Lipids_POS_550.3499_188.6176_246.1897,0.2597717494730057,0.283225940226567
