,AHI,snore_db_mean,saturation_mean,desaturations_mean_nadir,percent_of_supine_sleep,total_sleep_time,sleep_efficiency,variability_between_sleep_stage_percents,hrv_time_rmssd_during_night,hrv_time_rmssd_during_wake
body_comp_total_right_fat_mass,0.3549525698773974,0.1992902861773705,-0.3491068175267993,-0.2445807878003874,,,,-0.0667888802913055,-0.1717299630246294,-0.1183536641089329
body_comp_total_left_fat_mass,0.3641965115000693,0.2035625447766123,-0.3550393821545283,-0.2479712521305831,,,,-0.0636415919104007,-0.1702191352065626,-0.1181201303264177
body_comp_total_fat_mass,0.360192128496109,0.2018232589259554,-0.3526614010976701,-0.2466337242039622,,,,-0.0653465914656949,-0.171287221686699,-0.1185235294737186
total_scan_sat_area,0.2925355348545204,0.1558566139008802,-0.2989098804465913,-0.2122119696839179,,,-0.0290178887484467,-0.0745576534594751,-0.1691169618126725,-0.1070237414984
total_scan_sat_mass,0.3084928033505619,0.170322632238484,-0.3036944822074733,-0.2055193028702451,,,-0.0327152634559377,-0.069711116493531,-0.1392366363551568,-0.0937429677547001
total_scan_sat_volume,0.3084928033505619,0.170322632238484,-0.3036944822074733,-0.2055193028702451,,,-0.0327152634559377,-0.069711116493531,-0.1392366363551568,-0.0937429677547001
body_comp_android_fat_mass,0.464381638132497,0.2707099301647288,-0.4172024865206775,-0.2571342008648168,,-0.0332772714598357,-0.0605760857696355,-0.0417863276554116,-0.1046338580201116,-0.0869659864708593
body_comp_trunk_right_fat_mass,0.4423815952653083,0.25001253937487,-0.4054330269200599,-0.2524499734055148,,,-0.0527269138920641,-0.0508398150181179,-0.123107812170642,-0.0959114085819727
body_comp_trunk_left_fat_mass,0.4494553529429755,0.2568674650259782,-0.410878388768062,-0.2568276415976306,,,-0.0528840262830526,-0.0462355795874924,-0.1226863323515677,-0.0955279117234655
body_comp_trunk_fat_mass,0.4476429172134999,0.25460504205768,-0.4097849859762509,-0.2555560585668658,,,-0.0529035358157707,-0.0486198271872353,-0.1233470935972923,-0.0960226671582211
total_scan_vat_area,0.5172067877103697,0.30149215563608,-0.4406938609996116,-0.2451436180746063,,-0.0530527424495986,-0.073104540218658,,-0.0511335640846411,-0.06243543834603
